"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Police personnel and selected crime statistics, municipal police services",35100077,254-0004,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510007701",,"CURRENT - a cube available to the public and that is current",Annual,2000-01-01,2019-01-01,2

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,1,
2,Statistics,1;12;17,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,"New Glasgow, Nova Scotia, municipal",[12058],25,,,,
1,"Trenton, Nova Scotia, municipal",[12059],26,,,,
1,"Eskasoni, Nova Scotia, municipal",[12065],27,,,,
1,"Digby, Nova Scotia, Royal Canadian Mounted Police, municipal",[12711],28,,,,
1,"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",[12712],29,,,,
1,"Windsor, Nova Scotia, Royal Canadian Mounted Police, municipal",[12744],30,,,,
1,"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",[12752],31,,,,
1,"Pictou, Nova Scotia, Royal Canadian Mounted Police, municipal",[12776],32,,,,
1,"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal",[12821],33,,,,
1,"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",[12833],34,,,,
1,"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal",[12834],35,,,,
1,"Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",[12836],36,,,,
1,"Bathurst, New Brunswick, municipal",[13001],37,,,,
1,"Caraquet, New Brunswick, municipal",[13002],38,,,,
1,"Edmundston, New Brunswick, municipal",[13006],39,,,,
1,"Fredericton, New Brunswick, municipal",[13007],40,,,,
1,"Sackville, New Brunswick, Royal Canadian Mounted Police, municipal",[13008],41,,,,
1,"Grand Falls, New Brunswick, municipal",[13012],42,,,,
1,"Miramichi, New Brunswick, municipal",[13015],43,,,,
1,"Kennebecasis Regional Police Force, New Brunswick, municipal",[13024],44,,,,
1,"Saint John, New Brunswick, municipal",[13027],45,,,,
1,"St. Stephen-milltown, New Brunswick, municipal",[13032],46,,,,
1,"Sackville, New Brunswick, municipal",[13033],47,,,,
1,"Woodstock, New Brunswick, municipal",[13037],48,,,,
1,"Beresford, Nigadoo, Petit-Rocher, Pointe-Verte (BNPP) Regional, New Brunswick, municipal",[13050],49,,,,
1,"Richibucto, New Brunswick, Royal Canadian Mounted Police, municipal",[13703],50,,,,
1,"St. Andrews, New Brunswick, Royal Canadian Mounted Police, municipal",[13704],51,,,,
1,"Bouctouche, New Brunswick, Royal Canadian Mounted Police, municipal",[13705],52,,,,
1,"Campbellton, New Brunswick, Royal Canadian Mounted Police, municipal",[13706],53,,,,
1,"Neguac, New Brunswick, Royal Canadian Mounted Police, municipal",[13707],54,,,,
1,"Saint Quentin, New Brunswick, Royal Canadian Mounted Police, municipal",[13708],55,,,,
1,"Codiac Regional, New Brunswick, Royal Canadian Mounted Police, municipal",[13709],56,,,,
1,"Cap-Pelé, New Brunswick, Royal Canadian Mounted Police, municipal",[13751],57,,,,
1,"McAdam, New Brunswick, Royal Canadian Mounted Police, municipal",[13769],58,,,,
1,"Oromocto, New Brunswick, Royal Canadian Mounted Police, municipal",[13776],59,,,,
1,"Hampton, New Brunswick, Royal Canadian Mounted Police, municipal",[13855],60,,,,
1,"Alma, Quebec, municipal",[24003],61,,,,
1,"Amos, Quebec, municipal",[24004],62,,,,
1,"Asbestos, Quebec, municipal",[24011],63,,,,
1,"Baie-comeau, Quebec, municipal",[24015],64,,,,
1,"Vallée-du-richelieu, Quebec, municipal",[24029],65,,,,
1,"Boucherville, Quebec, municipal",[24037],66,,,,
1,"Brossard, Quebec, municipal",[24039],67,,,,
1,"Bromont, Quebec, municipal",[24040],68,,,,
1,"Morin Heights, Quebec, municipal",[24045],69,,,,
1,"Otterburn Park, Quebec, municipal",[24046],70,,,,
1,"Roussillon Region, Quebec, municipal",[24047],71,,,,
1,"St. Basile-le-grand, Quebec, municipal",[24048],72,,,,
1,"Cap-de-la-madeleine, Quebec, municipal",[24051],73,,,,
1,"Chambly, Quebec, municipal",[24053],74,,,,
1,"Charlesbourg, Quebec, municipal",[24055],75,,,,
1,"Châteauguay, Quebec, municipal",[24057],76,,,,
1,"Chicoutimi, Quebec, municipal",[24061],77,,,,
1,"Eagle Village (Kebaowek), Quebec, municipal",[24063],78,,,,
1,"Coaticook, Quebec, municipal",[24065],79,,,,
1,"Cowansville, Quebec, municipal",[24071],80,,,,
1,"Le Gardeur, Quebec, municipal",[24072],81,,,,
1,"Dolbeau-mistassini, Quebec, municipal",[24078],82,,,,
1,"Donnacona, Quebec, municipal",[24081],83,,,,
1,"Drummondville, Quebec, municipal",[24084],84,,,,
1,"East Angus, Quebec, municipal",[24087],85,,,,
1,"Farnham, Quebec, municipal",[24088],86,,,,
1,"St. Adolphe-d'howard, Quebec, municipal",[24092],87,,,,
1,"Granby Canton, Quebec, municipal",[24095],88,,,,
1,"Grand-mère, Quebec, municipal",[24101],89,,,,
1,"Granby, Quebec, municipal",[24102],90,,,,
1,"Greenfield Park, Quebec, municipal",[24103],91,,,,
1,"Hudson, Quebec, municipal",[24107],92,,,,
1,"Hull, Quebec, municipal",[24108],93,,,,
1,"Lachenaie, Quebec, municipal",[24109],94,,,,
1,"L'île-perrot, Quebec, municipal",[24113],95,,,,
1,"La Romaine, Quebec, municipal",[24114],96,,,,
1,"Essipit, Quebec, municipal",[24115],97,,,,
1,"Joliette, Quebec, municipal",[24116],98,,,,
1,"Jonquière, Quebec, municipal",[24117],99,,,,
1,"Manawan, Quebec, municipal",[24119],100,,,,
1,"Lac Brome, Quebec, municipal",[24120],101,,,,
1,"Gesgapegiag Ameridian, Quebec, municipal",[24122],102,,,,
1,"Lachute, Quebec, municipal",[24124],103,,,,
1,"Mingan, Quebec, municipal",[24125],104,,,,
1,"Natasquan, Quebec, municipal",[24126],105,,,,
1,"La Malbaie, Quebec, municipal",[24128],106,,,,
1,"La Prairie, Quebec, municipal",[24131],107,,,,
1,"L'Assomption, Quebec, municipal",[24135],108,,,,
1,"La Plaine, Quebec, municipal",[24136],109,,,,
1,"La Tuque, Quebec, municipal",[24137],110,,,,
1,"St. Luc, Quebec, municipal",[24138],111,,,,
1,"Timiskaming First Nations, Quebec, municipal",[24139],112,,,,
1,"Lorraine, Quebec, municipal",[24140],113,,,,
1,"Laval, Quebec, municipal",[24141],114,,,,
1,"Odanak / Wôlinak, Quebec, municipal",[24144],115,,,,
1,"St. Lambert, Quebec, municipal",[24145],116,,,,
1,"Mashteuiatsh First Nations, Quebec, municipal",[24147],117,,,,
1,"Lévis, Quebec, municipal",[24148],118,,,,
1,"Wemotaci, Quebec, municipal",[24150],119,,,,
1,"Belleterre, Quebec, municipal",[24151],120,,,,
1,"Longueuil, Quebec, municipal",[24152],121,,,,
1,"Loretteville, Quebec, municipal",[24153],122,,,,
1,"Aylmer, Quebec, municipal",[24155],123,,,,
1,"Magog, Quebec, municipal",[24157],124,,,,
1,"Kitigan Zibi Anishinabeg, Quebec, municipal",[24159],125,,,,
1,"Wendake First Nations, Quebec, municipal",[24160],126,,,,
1,"Matane, Quebec, municipal",[24164],127,,,,
1,"Mascouche, Quebec, municipal",[24165],128,,,,
1,"Lac-mégantic, Quebec, municipal",[24166],129,,,,
1,"Lac Simon, Quebec, municipal",[24167],130,,,,
1,"Mercier, Quebec, municipal",[24170],131,,,,
1,"Mont-joli, Quebec, municipal",[24171],132,,,,
1,"Montmagny, Quebec, municipal",[24173],133,,,,
1,"Montréal, Quebec, municipal",[24175],134,,,,
1,"Uashat Mak Mani-Utenam, Quebec, municipal",[24177],135,,,,
1,"Obedjiwan First Nations, Quebec, municipal",[24178],136,,,,
1,"Pakua Shipi, Quebec, municipal",[24179],137,,,,
1,"Marieville, Quebec, municipal",[24180],138,,,,
1,"Schefferville, Quebec, municipal",[24181],139,,,,
1,"Mont-st-hilaire, Quebec, municipal",[24187],140,,,,
1,"Montcalm, Quebec, municipal",[24188],141,,,,
1,"Nicolet, Quebec, municipal",[24191],142,,,,
1,"Pikogan First Nations, Quebec, municipal",[24195],143,,,,
1,"Kanesatake, Quebec, municipal",[24198],144,,,,
1,"Eastmain, Quebec, municipal",[24199],145,,,,
1,"Whapmagoostui, Quebec, municipal",[24201],146,,,,
1,"Pincourt, Quebec, municipal",[24202],147,,,,
1,"Plessisville, Quebec, municipal",[24203],148,,,,
1,"Gatineau, Quebec, municipal",[24205],149,,,,
1,"Prévost, Quebec, municipal",[24206],150,,,,
1,"Oujé-bougoumou, Quebec, municipal",[24208],151,,,,
1,"Port-cartier, Quebec, municipal",[24209],152,,,,
1,"Nemaska, Quebec, municipal",[24211],153,,,,
1,"La Baie, Quebec, municipal",[24212],154,,,,
1,"Princeville, Quebec, municipal",[24213],155,,,,
1,"Listuguj, Quebec, municipal",[24214],156,,,,
1,"Québec, Quebec, municipal",[24215],157,,,,
1,"Gatineau, Quebec, municipal",[24216],158,,,,
1,"Lévis, Quebec, municipal",[24219],159,,,,
1,"Repentigny, Quebec, municipal",[24221],160,,,,
1,"Richmond, Quebec, municipal",[24223],161,,,,
1,"Rimouski, Quebec, municipal",[24225],162,,,,
1,"Rivière-du-Loup, Quebec, municipal",[24228],163,,,,
1,"Rosemère, Quebec, municipal",[24230],164,,,,
1,"Longueuil, Quebec, municipal",[24231],165,,,,
1,"Roberval, Quebec, municipal",[24233],166,,,,
1,"Rouyn-noranda, Quebec, municipal",[24235],167,,,,
1,"Shawinigan, Quebec, municipal",[24236],168,,,,
1,"Trois-Rivières, Quebec, municipal",[24237],169,,,,
1,"Ste. Adèle, Quebec, municipal",[24238],170,,,,
1,"St. Césaire, Quebec, municipal",[24239],171,,,,
1,"Saguenay, Quebec, municipal",[24241],172,,,,
1,"Ste. Agathe-des-monts, Quebec, municipal",[24242],173,,,,
1,"Varennes, Quebec, municipal",[24243],174,,,,
1,"St. Bruno, Quebec, municipal",[24246],175,,,,
1,"St. Donat, Quebec, municipal",[24252],176,,,,
1,"Kahnawake First Nations, Quebec, municipal",[24255],177,,,,
1,"Wôlinak, Quebec, municipal",[24256],178,,,,
1,"St. Eustache, Quebec, municipal",[24257],179,,,,
1,"Deux-Montagnes Region, Quebec, municipal",[24258],180,,,,
1,"Pessamit, Quebec, municipal",[24259],181,,,,
1,"Lac-rapide, Quebec, municipal",[24260],182,,,,
1,"St. Félicien, Quebec, municipal",[24261],183,,,,
1,"Ste. Foy, Quebec, municipal",[24262],184,,,,
1,"Saint-Georges, Quebec, municipal",[24266],185,,,,
1,"Thérèse-de-Blainville, Quebec, municipal",[24267],186,,,,
1,"Richelieu Saint-Laurent, Quebec, municipal",[24268],187,,,,
1,"St. Hubert, Quebec, municipal",[24269],188,,,,
1,"St. Hyacinthe, Quebec, municipal",[24271],189,,,,
1,"Saint Jean-sur-Richelieu, Quebec, municipal",[24272],190,,,,
1,"Mirabel, Quebec, municipal",[24273],191,,,,
1,"Lac-rapide, Quebec, municipal",[24274],192,,,,
1,"St. Jérôme, Quebec, municipal",[24275],193,,,,
1,"Mont-Tremblant, Quebec, municipal",[24283],194,,,,
1,"St. Lazare, Quebec, municipal",[24286],195,,,,
1,"Ste. Marie, Quebec, municipal",[24291],196,,,,
1,"Eeyou Eenou Cree Region, Quebec, municipal",[24293],197,,,,
1,"Saint-romuald, Quebec, municipal",[24299],198,,,,
1,"St. Rémi, Quebec, municipal",[24300],199,,,,
1,"Boisbriand, Quebec, municipal",[24302],200,,,,
1,"Saint-Sauveur-des-Monts, Quebec, municipal",[24304],201,,,,
1,"Blainville, Quebec, municipal",[24305],202,,,,
1,"Ste. Thérèse, Quebec, municipal",[24306],203,,,,
1,"Sept-îles, Quebec, municipal",[24318],204,,,,
1,"Shawinigan, Quebec, municipal",[24321],205,,,,
1,"Shawinigan-Sud, Quebec, municipal",[24322],206,,,,
1,"Sherbrooke, Quebec, municipal",[24323],207,,,,
1,"Sillery, Quebec, municipal",[24324],208,,,,
1,"Sorel-Tracy, Quebec, municipal",[24325],209,,,,
1,"Terrebonne, Quebec, municipal",[24333],210,,,,
1,"Thetford Mines, Quebec, municipal",[24334],211,,,,
1,"Trois-Rivières, Quebec, municipal",[24338],212,,,,
1,"Trois-Rivières-West, Quebec, municipal",[24339],213,,,,
1,"Valcourt, Quebec, municipal",[24340],214,,,,
1,"Val-Bélair, Quebec, municipal",[24342],215,,,,
1,"Val-d'or, Quebec, municipal",[24343],216,,,,
1,"Salaberry-de-Valleyfield, Quebec, municipal",[24345],217,,,,
1,"Vaudreuil-dorion, Quebec, municipal",[24346],218,,,,
1,"Victoriaville, Quebec, municipal",[24351],219,,,,
1,"Windsor, Quebec, municipal",[24357],220,,,,
1,"Normandin, Quebec, municipal",[24363],221,,,,
1,"Fermont, Quebec, municipal",[24364],222,,,,
1,"Ste. Julie, Quebec, municipal",[24371],223,,,,
1,"Mistissini, Quebec, municipal",[24374],224,,,,
1,"Chisasibi, Quebec, municipal",[24375],225,,,,
1,"Waswanipi, Quebec, municipal",[24376],226,,,,
1,"Waskaganish, Quebec, municipal",[24377],227,,,,
1,"Wemindji, Quebec, municipal",[24378],228,,,,
1,"Kativik Region, Quebec, municipal",[24379],229,,,,
1,"Naskapi (Kawawachikamach), Quebec, municipal",[24381],230,,,,
1,"Collines-de-l'Outaouais Region, Quebec, municipal",[24382],231,,,,
1,"Carignan, Quebec, municipal",[24383],232,,,,
1,"Meaford-Thornbury, Ontario, municipal",[35001],233,,,,
1,"Akwesasne Mohawk, Ontario, municipal",[35002],234,,,,
1,"Hanover, Ontario, municipal",[35005],235,,,,
1,"Anishinabek, Ontario, municipal",[35006],236,,,,
1,"Amherstburg, Ontario, municipal",[35007],237,,,,
1,"Chatham-Kent, Ontario, municipal",[35009],238,,,,
1,"Ottawa, Ontario, municipal",[35010],239,,,,
1,"Nishnawbe-Aski Nation, Ontario, municipal",[35011],240,,,,
1,"Woodstock, Ontario, municipal",[35013],241,,,,
1,"Aylmer, Ontario, municipal",[35014],242,,,,
1,"Lambton (Point Edward), Ontario, Ontario Provincial Police, municipal",[35015],243,,,,
1,"Northumberland (Brighton), Ontario, Ontario Provincial Police, municipal",[35016],244,,,,
1,"Peterborough County (Asphodel-Norwood), Ontario, Ontario Provincial Police, municipal",[35018],245,,,,
1,"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal",[35019],246,,,,
1,"Municipality of Trent Lakes, Ontario, Ontario Provincial Police, municipal",[35020],247,,,,
1,"Barrie, Ontario, municipal",[35021],248,,,,
1,"Peterborough County (Havelock/Belmont/Methuen), Ontario, Ontario Provincial Police, municipal",[35022],249,,,,
1,"Selwyn, Ontario, Ontario Provincial Police, municipal",[35023],250,,,,
1,"Peterborough County (Cavan/Millbrook/N. Monaghan), Ontario, Ontario Provincial Police, municipal",[35024],251,,,,
1,"Peterborough County (Otonabee/S. Monaghan), Ontario, Ontario Provincial Police, municipal",[35025],252,,,,
1,"Dufferin (Mono), Ontario, Ontario Provincial Police, municipal",[35026],253,,,,
1,"Belleville, Ontario, municipal",[35027],254,,,,
1,"Dryden (Ignace), Ontario, Ontario Provincial Police, municipal",[35028],255,,,,
1,"Jaffray Melick, Ontario, Ontario Provincial Police, municipal",[35029],256,,,,
1,"Keewatin, Ontario, Ontario Provincial Police, municipal",[35030],257,,,,
1,"Kenora (Sioux Narrows-Nestor Falls), Ontario, Ontario Provincial Police, municipal",[35031],258,,,,
1,"Red Lake, Ontario, Ontario Provincial Police, municipal",[35032],259,,,,
1,"Thunder Bay (Shuniah), Ontario, Ontario Provincial Police, municipal",[35033],260,,,,
1,"Rideau Lakes (Westport), Ontario, Ontario Provincial Police, municipal",[35034],261,,,,
1,"Napanee (Stone Mills), Ontario, Ontario Provincial Police, municipal",[35035],262,,,,
1,"Mississippi Mills, Ontario, Ontario Provincial Police, rural",[35036],263,,,,
1,"Lanark County (Montague), Ontario, Ontario Provincial Police, municipal",[35037],264,,,,
1,"Drummond-North Elmsley, Ontario, Ontario Provincial Police, municipal",[35039],265,,,,
1,"Lanark County (Tay Valley Township), Ontario, Ontario Provincial Police, municipal",[35040],266,,,,
1,"Peel Region (Mississauga/Brampton), Ontario, municipal",[35041],267,,,,
1,"Brantford, Ontario, municipal",[35042],268,,,,
1,"Lanark County (Beckwith), Ontario, Ontario Provincial Police, municipal",[35043],269,,,,
1,"Grenville County (Prescott/Augusta), Ontario, Ontario Provincial Police, municipal",[35044],270,,,,
1,"Grenville County (Kemptville/Merrickville), Ontario, Ontario Provincial Police, municipal",[35045],271,,,,
1,"Brockville, Ontario, municipal",[35046],272,,,,
1,"Frontenac (South Frontenac), Ontario, Ontario Provincial Police, municipal",[35047],273,,,,
1,"Halton Region (Oakville/Burlington), Ontario, municipal",[35048],274,,,,
1,"Hawkesbury, Ontario, Ontario Provincial Police, municipal",[35049],275,,,,
1,"Blind River, Ontario, Ontario Provincial Police, rural",[35050],276,,,,
1,"East Algoma (Spanish), Ontario, Ontario Provincial Police, municipal",[35053],277,,,,
1,"East Algoma (North Shore), Ontario, Ontario Provincial Police, municipal",[35054],278,,,,
1,"Carleton Place, Ontario, municipal",[35056],279,,,,
1,"East Algoma (Thessalon), Ontario, Ontario Provincial Police, municipal",[35057],280,,,,
1,"James Bay (Cochrane), Ontario, Ontario Provincial Police, municipal",[35058],281,,,,
1,"Temiskaming (Dymond), Ontario, Ontario Provincial Police, municipal",[35059],282,,,,
1,"Temiskaming (Temagami), Ontario, Ontario Provincial Police, municipal",[35060],283,,,,
1,"North Bay (Mattawa), Ontario, Ontario Provincial Police, municipal",[35063],284,,,,
1,"North Bay (Powassan), Ontario, Ontario Provincial Police, municipal",[35068],285,,,,
1,"Perth County (North Perth), Ontario, Ontario Provincial Police, municipal",[35069],286,,,,
1,"Norfolk County, Ontario, Ontario Provincial Police, municipal",[35070],287,,,,
1,"Cobourg, Ontario, municipal",[35071],288,,,,
1,"Wellington County, Ontario, Ontario Provincial Police, municipal",[35073],289,,,,
1,"Lanark County (Lanark Highlands), Ontario, Ontario Provincial Police, municipal",[35075],290,,,,
1,"Cornwall, Ontario, municipal",[35076],291,,,,
1,"Prince Edward, Ontario, Ontario Provincial Police, municipal",[35077],292,,,,
1,"Deep River, Ontario, municipal",[35078],293,,,,
1,"James Bay (Smooth Rock Falls), Ontario, Ontario Provincial Police, municipal",[35079],294,,,,
1,"Deseronto, Ontario, municipal",[35082],295,,,,
1,"Dryden, Ontario, municipal",[35084],296,,,,
1,"Apsley (North Kawartha), Ontario, Ontario Provincial Police, municipal",[35085],297,,,,
1,"Addington Highlands, Ontario, Ontario Provincial Police, municipal",[35086],298,,,,
1,"West Grey, Ontario, municipal",[35088],299,,,,
1,"Stormont/Dundas/Glengarry, Ontario, Ontario Provincial Police, municipal",[35089],300,,,,
1,"Lambton (St. Clair/Lambton Shores), Ontario, Ontario Provincial Police, municipal",[35090],301,,,,
1,"Northumberland (Alnwick/Haldimand), Ontario, Ontario Provincial Police, municipal",[35091],302,,,,
1,"Northumberland (Hope), Ontario, Ontario Provincial Police, municipal",[35093],303,,,,
1,"Collingwood, Ontario, Ontario Provincial Police, rural",[35095],304,,,,
1,"Napanee (Greater Napanee), Ontario, Ontario Provincial Police, municipal",[35097],305,,,,
1,"Espanola, Ontario, municipal",[35098],306,,,,
1,"Napanee (Loyalist), Ontario, Ontario Provincial Police, municipal",[35099],307,,,,
1,"Markdale (Grey Highlands), Ontario, Ontario Provincial Police, municipal",[35100],308,,,,
1,"Essex, Ontario, Ontario Provincial Police, municipal",[35101],309,,,,
1,"Mount Forest (Southgate), Ontario, Ontario Provincial Police, municipal",[35103],310,,,,
1,"Elgin County, Ontario, Ontario Provincial Police, municipal",[35105],311,,,,
1,"Oxford (Tillsonburg), Ontario, Ontario Provincial Police, municipal",[35106],312,,,,
1,"Renfrew, Ontario, Ontario Provincial Police, municipal",[35107],313,,,,
1,"Brant County, Ontario, Ontario Provincial Police, municipal",[35109],314,,,,
1,"Northumberland (Trent Hills), Ontario, Ontario Provincial Police, municipal",[35110],315,,,,
1,"Tyendinaga, Ontario, Ontario Provincial Police, municipal",[35111],316,,,,
1,"Nipigon (Red Rock), Ontario, Ontario Provincial Police, municipal",[35112],317,,,,
1,"Northumberland (Cramahe), Ontario, Ontario Provincial Police, municipal",[35113],318,,,,
1,"Gananoque, Ontario, municipal",[35114],319,,,,
1,"Schreiber (Terrace Bay), Ontario, Ontario Provincial Police, municipal",[35115],320,,,,
1,"North Bay (Bonfield), Ontario, Ontario Provincial Police, municipal",[35116],321,,,,
1,"James Bay (Hearst), Ontario, Ontario Provincial Police, municipal",[35117],322,,,,
1,"Dufferin (Town of Grand Valley), Ontario, Ontario Provincial Police, municipal",[35119],323,,,,
1,"Grey County (Chatsworth), Ontario, Ontario Provincial Police, municipal",[35121],324,,,,
1,"Napanee (Deseronto), Ontario, Ontario Provincial Police, rural",[35122],325,,,,
1,"Guelph, Ontario, municipal",[35123],326,,,,
1,"Hamilton, Ontario, municipal",[35125],327,,,,
1,"Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal",[35129],328,,,,
1,"Wikwemikong, Ontario, municipal",[35130],329,,,,
1,"Sault Ste. Marie (Macdonald/Meredith), Ontario, Ontario Provincial Police, municipal",[35132],330,,,,
1,"Sault Ste. Marie (Laird), Ontario, Ontario Provincial Police, municipal",[35134],331,,,,
1,"Collingwood (The Blue Mountains), Ontario, Ontario Provincial Police, municipal",[35135],332,,,,
1,"Grey County (Meaford), Ontario, Ontario Provincial Police, municipal",[35137],333,,,,
1,"Grey County (Georgian Bluffs), Ontario, Ontario Provincial Police, municipal",[35138],334,,,,
1,"Oxford (Ingersoll), Ontario, Ontario Provincial Police, municipal",[35139],335,,,,
1,"Lanark County (Carleton Place), Ontario, Ontario Provincial Police, municipal",[35140],336,,,,
1,"Ingersoll, Ontario, municipal",[35141],337,,,,
1,"Haldimand County, Ontario, Ontario Provincial Police, municipal",[35142],338,,,,
1,"East Algoma (Elliot Lake), Ontario, Ontario Provincial Police, municipal",[35143],339,,,,
1,"South Bruce (Brockton), Ontario, Ontario Provincial Police, municipal",[35145],340,,,,
1,"Kenora, Ontario, municipal",[35147],341,,,,
1,"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal",[35149],342,,,,
1,"Kenora, Ontario, Ontario Provincial Police, municipal",[35150],343,,,,
1,"Kingston, Ontario, municipal",[35151],344,,,,
1,"Lac Seul, Ontario, municipal",[35153],345,,,,
1,"Treaty Three Communities, Ontario, municipal",[35155],346,,,,
1,"Essex County (Leamington), Ontario, Ontario Provincial Police, municipal",[35156],347,,,,
1,"Kawartha Lakes, Ontario, municipal",[35157],348,,,,
1,"Quinte West, Ontario, Ontario Provincial Police, municipal",[35159],349,,,,
1,"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal",[35160],350,,,,
1,"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal",[35161],351,,,,
1,"London, Ontario, municipal",[35162],352,,,,
1,"Dufferin (Mulmur), Ontario, Ontario Provincial Police, municipal",[35163],353,,,,
1,"Grenville County (Prescott), Ontario, Ontario Provincial Police, municipal",[35164],354,,,,
1,"Admaston/Bromley, Ontario, Ontario Provincial Police, municipal",[35166],355,,,,
1,"East Algoma (Johnson), Ontario, Ontario Provincial Police, municipal",[35167],356,,,,
1,"East Algoma (Bruce Mines), Ontario, Ontario Provincial Police, municipal",[35168],357,,,,
1,"Upper Ottawa Valley (Petawawa), Ontario, Ontario Provincial Police, municipal",[35169],358,,,,
1,"Northumberland (Hamilton), Ontario, Ontario Provincial Police, municipal",[35170],359,,,,
1,"Highway Safety Division (Highway 407), Ontario, Ontario Provincial Police, municipal",[35171],360,,,,
1,"Rainy River District (Atikokan), Ontario, Ontario Provincial Police, municipal",[35172],361,,,,
1,"Upper Ottawa Valley (Laurentian Hills), Ontario, Ontario Provincial Police, municipal",[35173],362,,,,
1,"Temiskaming (New Liskeard), Ontario, Ontario Provincial Police, municipal",[35176],363,,,,
1,"Midland, Ontario, municipal",[35177],364,,,,
1,"Killaloe (Bonnechere Valley), Ontario, Ontario Provincial Police, municipal",[35178],365,,,,
1,"Russell, Ontario, Ontario Provincial Police, rural",[35179],366,,,,
1,"Casselman, Ontario, Ontario Provincial Police, rural",[35180],367,,,,
1,"Middlesex, Ontario, Ontario Provincial Police, rural",[35183],368,,,,
1,"Dryden (Machin), Ontario, Ontario Provincial Police, municipal",[35184],369,,,,
1,"Oxford (Norwich), Ontario, Ontario Provincial Police, municipal",[35187],370,,,,
1,"Oxford (Blandford-Blenheim), Ontario, Ontario Provincial Police, municipal",[35188],371,,,,
1,"Oxford (East Zorra-Tavistock), Ontario, Ontario Provincial Police, municipal",[35189],372,,,,
1,"Russell County/Hawkesbury (The Nation), Ontario, Ontario Provincial Police, municipal",[35190],373,,,,
1,"Temiskaming Shores, Ontario, municipal",[35192],374,,,,
1,"Niagara Region (St. Catharines), Ontario, municipal",[35196],375,,,,
1,"North Bay, Ontario, municipal",[35197],376,,,,
1,"Middlesex (Thames Centre), Ontario, Ontario Provincial Police, municipal",[35201],377,,,,
1,"Orangeville, Ontario, municipal",[35204],378,,,,
1,"Durham Region (Oshawa/Whitby/Ajax), Ontario, municipal",[35206],379,,,,
1,"Six Nations, Ontario, municipal",[35210],380,,,,
1,"Owen Sound, Ontario, municipal",[35212],381,,,,
1,"Upper Ottawa Valley (Pembroke), Ontario, Ontario Provincial Police, municipal",[35217],382,,,,
