REF_DATE,GEO,DGUID,CDUID,Authorized_police_officer_strength,Authorized_police_officer_strength_per100k_population,Crime_severity_index,Female_police_officers,Male_police_officers,Net_gain_or_loss_hirings_and_departures,Police_officers_eligible_to_retire,Police_officers_per_100k_population,Population,Total_number_of_civilian_and_other_personnel,Total_number_of_police_officers,Weighted_clearance_rate
2000,"Baie-comeau, Quebec, municipal",24015,2401,37,153.4,76.18,5,32,,,153.4,24127,14,37,43.02
2000,"Banff, Alberta, Royal Canadian Mounted Police, municipal",48731,4873,17,237.5,188.81,5,13,,,251.4,7159,0,18,31.85
2000,"Barrhead, Alberta, Royal Canadian Mounted Police, municipal",48934,4893,6,138.7,102.03,,,,,138.7,4326,0,6,41.42
2000,"Barrie, Ontario, municipal",35021,3502,125,122,101.69,13,108,,,118.1,102428,53,121,45.42
2000,"Bathurst, New Brunswick, municipal",13001,1300,32,237.7,177.02,,,,,237.7,13462,14,32,42.95
2000,"Battleford, Saskatchewan, Royal Canadian Mounted Police, municipal",47707,4770,5,127.1,111.5,,,,,127.1,3935,0,5,34.6
2000,"Beaumont, Alberta, Royal Canadian Mounted Police, municipal",48704,4870,4,57.7,53.13,,,,,57.7,6932,0,4,41.45
2000,"Beausejour, Manitoba, Royal Canadian Mounted Police, municipal",46783,4678,3,105.2,135.98,,,,,105.2,2851,0,3,35.98
2000,"Bedford, Quebec, municipal",24028,2402,7,,,,,,,,,0,7,
2000,"Belleterre, Quebec, municipal",24151,2415,4,2469.1,,,,,,2469.1,162,0,4,
2000,"Belleville, Ontario, municipal",35027,3502,74,155.3,155.78,13,61,,,155.3,47648,25,74,38.89
2000,"Beresford, Nigadoo, Petit-Rocher, Pointe-Verte (BNPP) Regional, New Brunswick, municipal",13050,1305,14,139.5,71.6,,,,,139.5,10034,3,14,43.78
2000,"Berwick, Nova Scotia, municipal",12004,1200,0,,,0,0,,,,,0,0,
2000,"Biggar, Saskatchewan, Royal Canadian Mounted Police, municipal",47843,4784,3,129.5,135.72,,,,,129.5,2316,0,3,50.29
2000,"Blackfalds, Alberta, Royal Canadian Mounted Police, municipal",48019,4801,,,,,,,,,,,,
2000,"Blackfalds, Alberta, Royal Canadian Mounted Police, rural",48883,4888,,,,,,,,,,,,
2000,"Blacks Harbour, New Brunswick, municipal",13009,1300,0,,,0,0,,,,,0,0,
2000,"Blainville, Quebec, municipal",24305,2430,28,79.4,47.28,,,,,79.4,35274,22,28,23.38
2000,"Blairmore, Alberta, Royal Canadian Mounted Police, municipal",48917,4891,8,123.4,79.4,0,7,,,108,6484,0,7,56.95
2000,"Blind River, Ontario, Ontario Provincial Police, rural",35050,3505,8,190.6,147.99,,,,,190.6,4197,0,8,60.11
2000,"Blood Tribe (Standoff), Alberta, municipal",48091,4809,20,493,838.08,,,,,517.6,4057,11,21,69.06
2000,"Boisbriand, Quebec, municipal",24302,2430,25,92.9,54,,,,,92.9,26902,13,25,36.05
2000,"Boissevain, Manitoba, Royal Canadian Mounted Police, municipal",46817,4681,2,129.4,67.78,,,,,129.4,1546,0,2,56.15
2000,"Bonnyville, Alberta, Royal Canadian Mounted Police, municipal",48742,4874,9,156.8,167.88,,,,,104.5,5741,0,6,43.81
2000,"Borden-Carleton, Prince Edward Island, municipal",11013,1101,6,738,,,,,,246,813,0,2,
2000,"Boucherville, Quebec, municipal",24037,2403,44,119.6,77.53,6,38,,,119.6,36800,15,44,25.38
2000,"Bouctouche, New Brunswick, Royal Canadian Mounted Police, municipal",13705,1370,3,120,28.3,,,,,120,2500,0,3,61.17
2000,"Brandon, Manitoba, municipal",46005,4600,71,174.3,150.63,,,,,157.1,40735,24,64,46.79
2000,"Brant County, Ontario, Ontario Provincial Police, municipal",35109,3510,0,0,55.06,0,0,,,0,32432,0,0,34.72
2000,"Brantford, Ontario, municipal",35042,3504,131,146.8,116.29,18,119,,,153.5,89261,71,137,32.12
2000,"Bridgewater, Nova Scotia, municipal",12006,1200,21,270.5,157.23,,,,,270.5,7764,7,21,36.46
2000,"Brighton Township, Ontario, Ontario Provincial Police, municipal",35017,3501,5,107.1,,0,5,,,107.1,4667,0,5,
2000,"Brockville, Ontario, municipal",35046,3504,42,189.4,138.98,6,36,,,189.4,22181,30,42,51.64
2000,"Bromont, Quebec, municipal",24040,2404,7,146,128.18,0,7,,,146,4794,1,7,12.1
2000,"Brooks, Alberta, Royal Canadian Mounted Police, municipal",48708,4870,12,103.4,152.2,,,,,103.4,11604,0,12,41.53
2000,"Brossard, Quebec, municipal",24039,2403,88,132.8,87.29,13,74,,,131.3,66251,31,87,29.39
2000,"Burnaby, British Columbia, Royal Canadian Mounted Police, municipal",59703,5970,241,120.9,167.35,51,179,,,115.4,199321,0,230,20.03
2000,"Caledon, Ontario, Ontario Provincial Police, municipal",35461,3546,50,100.3,40.15,22,28,,,100.3,49861,5,50,39.8
2000,"Calgary, Alberta, municipal",48014,4801,1313,148.8,104.21,158,1133,,,146.3,882650,557,1291,38.76
2000,"Campbell River, British Columbia, Royal Canadian Mounted Police, municipal",59891,5989,40,134.4,207.62,6,30,,,120.9,29765,1,36,30.28
2000,"Campbellton, New Brunswick, Royal Canadian Mounted Police, municipal",13706,1370,18,220.8,115.12,,,,,233,8153,0,19,57.98
2000,"Camrose, Alberta, municipal",48015,4801,21,140.7,133.99,,,,,140.7,14923,11,21,41.19
2000,"Canmore, Alberta, Royal Canadian Mounted Police, municipal",48729,4872,11,103.8,93.47,,,,,84.9,10595,0,9,25.58
2000,"Canora, Saskatchewan, Royal Canadian Mounted Police, municipal",47913,4791,3,132.7,79.11,,,,,132.7,2261,0,3,43.11
2000,"Cap-Pelé, New Brunswick, Royal Canadian Mounted Police, municipal",13751,1375,3,129.6,79.68,,,,,129.6,2315,0,3,33.47
2000,"Cap-de-la-madeleine, Quebec, municipal",24051,2405,47,99.9,69.73,0,46,,,97.8,47027,19,46,45.31
2000,"Cape Breton Region, Nova Scotia, municipal",12018,1201,,,,,,,,,,,,
2000,"Caraquet, New Brunswick, municipal",13002,1300,8,173.6,59.19,0,8,,,173.6,4607,2,8,38.42
2000,"Cardston, Alberta, Royal Canadian Mounted Police, municipal",48894,4889,5,140.5,116.45,,,,,140.5,3558,0,5,64.89
2000,"Carignan, Quebec, municipal",24383,2438,11,184.2,70.81,,,,,167.5,5971,1,10,28.41
2000,"Carleton Place, Ontario, municipal",35056,3505,15,162.6,114.77,,,,,162.6,9223,8,15,54.08
2000,"Carman, Manitoba, Royal Canadian Mounted Police, municipal",46786,4678,3,105,71.99,,,,,105,2857,0,3,16.8
2000,"Caronport, Saskatchewan, municipal",47010,4701,1,91.8,110.84,,,,,91.8,1089,0,1,40.7
2000,"Casselman, Ontario, Ontario Provincial Police, rural",35180,3518,,,,,,,,,,,,
2000,"Castlegar, British Columbia, Royal Canadian Mounted Police, municipal",59928,5992,10,136.6,145.21,,,,,136.6,7320,0,10,38.69
2000,"Central Saanich, British Columbia, municipal",59001,5900,21,133.4,61.46,,,,,133.4,15739,7,21,46.53
2000,"Chambly, Quebec, municipal",24053,2405,22,106.7,72.54,,,,,116.3,20628,16,24,27.69
2000,"Chandler, Quebec, municipal",24189,2418,6,,,0,6,,,,,1,6,
2000,"Charlesbourg, Quebec, municipal",24055,2405,80,111.8,72.01,,,,,111.8,71577,61,80,32.78
2000,"Charlottetown, Prince Edward Island, municipal",11002,1100,53,162.6,106.05,,,,,162.6,32595,36,53,27.38
2000,"Chatham-Kent, Ontario, municipal",35009,3500,158,141.4,108.25,15,133,,,132.5,111704,51,148,35.34
2000,"Chestermere, Alberta, Royal Canadian Mounted Police, municipal",48005,4800,,,,,,,,,,,,
2000,"Chicoutimi, Quebec, municipal",24061,2406,74,110.4,100.47,4,70,,,110.4,67058,30,74,30.86
2000,"Chilliwack, British Columbia, Royal Canadian Mounted Police, municipal",59724,5972,84,124.8,147.57,21,60,,,120.4,67296,0,81,33.23
2000,"Chisasibi, Quebec, municipal",24375,2437,,,,,,,,,,,,
2000,"Churchbridge, Saskatchewan, municipal",47100,4710,0,,,0,0,,,,,0,0,
2000,"Châteauguay, Quebec, municipal",24057,2405,47,106.1,70.22,6,42,,,108.3,44313,15,48,30.63
2000,"Claresholm, Alberta, Royal Canadian Mounted Police, municipal",48814,4881,5,135.9,71.61,,,,,135.9,3679,0,5,39.95
2000,"Clinton, Ontario, Ontario Provincial Police, municipal",35479,3547,6,185.5,87.25,,,,,185.5,3235,0,6,42.74
2000,"Coaldale, Alberta, Royal Canadian Mounted Police, municipal",48020,4802,,,,,,,,,,,,
2000,"Coaldale, Alberta, municipal",48021,4802,8,130.7,50.01,0,8,,,130.7,6123,3,8,48.96
2000,"Coaticook, Quebec, municipal",24065,2406,12,171.4,64.32,,,,,171.4,7001,1,12,37.82
2000,"Cobourg, Ontario, municipal",35071,3507,25,141.9,79.81,,,,,141.9,17619,19,25,60.7
2000,"Cochrane, Alberta, Royal Canadian Mounted Police, municipal",48900,4890,9,81.2,63.21,,,,,54.1,11087,0,6,33.4
2000,"Codiac Regional, New Brunswick, Royal Canadian Mounted Police, municipal",13709,1370,127,134.8,110.62,11,122,,,141.2,94215,0,133,25.81
2000,"Cold Lake, Alberta, Royal Canadian Mounted Police, municipal",48797,4879,8,67.2,80.39,,,,,67.2,11909,0,8,44.58
2000,"Coldstream, British Columbia, Royal Canadian Mounted Police, municipal",59816,5981,6,63.4,44.81,,,,,52.8,9464,0,5,14.7
2000,"Collines-de-l'Outaouais Region, Quebec, municipal",24382,2438,32,90.4,70.28,4,28,,,90.4,35409,10,32,29.23
2000,"Collingwood (The Blue Mountains), Ontario, Ontario Provincial Police, municipal",35135,3513,,,,,,,,,,,,
2000,"Collingwood, Ontario, Ontario Provincial Police, municipal",35491,3549,22,132.4,153.99,,,,,132.4,16616,2,22,33.29
2000,"Collingwood, Ontario, Ontario Provincial Police, rural",35095,3509,,,,,,,,,,,,
2000,"Colwood, British Columbia, Royal Canadian Mounted Police, municipal",59819,5981,14,98.1,78.96,,,,,91.1,14267,0,13,29.12
2000,"Comox, British Columbia, Royal Canadian Mounted Police, municipal",59926,5992,9,77.4,54.76,,,,,77.4,11624,0,9,33.07
2000,"Coquitlam, British Columbia, Royal Canadian Mounted Police, municipal",59705,5970,112,97,129.21,28,74,,,88.4,115432,0,102,19.93
2000,"Corman Park, Saskatchewan, municipal",47101,4710,5,429.2,71.85,,,,,515,1165,1,6,59.12
2000,"Corner Brook, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal",10502,1050,39,188.3,45.49,,,,,188.3,20717,6,39,43.73
2000,"Cornwall, Ontario, municipal",35076,3507,115,242.5,138.37,10,66,,,160.2,47428,38,76,46.87
2000,"Cornwall, Prince Edward Island, Royal Canadian Mounted Police, municipal",11001,1100,,,,,,,,,,,,
2000,"Courtenay, British Columbia, Royal Canadian Mounted Police, municipal",59895,5989,25,132.3,181.41,5,19,,,127,18903,0,24,35.85
2000,"Cowansville, Quebec, municipal",24071,2407,15,121.7,94.42,0,15,,,121.7,12321,8,15,46.16
2000,"Cranbrook, British Columbia, Royal Canadian Mounted Police, municipal",59792,5979,24,124.6,120.65,,,,,119.4,19265,0,23,40.19
2000,"Creighton, Saskatchewan, Royal Canadian Mounted Police, municipal",47748,4774,3,184.5,80.38,,,,,184.5,1626,0,3,82.39
2000,"Creston, British Columbia, Royal Canadian Mounted Police, municipal",59036,5903,,,,,,,,,,,,
2000,"Cudworth, Saskatchewan, municipal",47089,4708,2,246.6,,,,,,246.6,811,0,2,
2000,"Dalmeny, Saskatchewan, municipal",47091,4709,3,185.3,73.92,,,,,185.3,1619,0,3,52.34
2000,"Dauphin, Manitoba, Royal Canadian Mounted Police, municipal",46753,4675,13,155.6,193.93,,,,,167.5,8357,0,14,32.12
2000,"Dawson Creek, British Columbia, Royal Canadian Mounted Police, municipal",59822,5982,21,186.2,243.6,,,,,177.4,11276,0,20,50.73
2000,"Deep River, Ontario, municipal",35078,3507,7,160.4,46.35,,,,,160.4,4363,2,7,45.24
2000,"Delta, British Columbia, municipal",59004,5900,138,136.9,92.17,23,125,,,146.8,100821,31,148,25.59
2000,"Deseronto, Ontario, municipal",35082,3508,5,268.4,235.6,,,,,268.4,1863,1,5,65.61
2000,"Deux-Montagnes Region, Quebec, municipal",24258,2425,38,103.8,62.3,,,,,103.8,36615,11,38,25.9
2000,"Devon, Alberta, Royal Canadian Mounted Police, municipal",48896,4889,5,72.2,74.54,0,5,,,72.2,6930,0,5,35.88
2000,"Didsbury, Alberta, Royal Canadian Mounted Police, municipal",48874,4887,4,100.8,63.82,,,,,75.6,3970,0,3,42.21
2000,"Digby, Nova Scotia, Royal Canadian Mounted Police, municipal",12711,1271,5,229,183.35,0,4,,,183.2,2183,0,4,75.9
2000,"Dolbeau-mistassini, Quebec, municipal",24078,2407,25,163.8,48.53,0,17,,,111.4,15261,10,17,34.25
2000,"Donnacona, Quebec, municipal",24081,2408,14,169.4,55.45,0,9,,,108.9,8264,5,9,53.79
2000,"Drayton Valley, Alberta, Royal Canadian Mounted Police, municipal",48793,4879,7,117.2,178.14,,,,,117.2,5974,0,7,36.87
2000,"Driftpile, Alberta, municipal",48003,4800,0,,,0,0,,,,,0,0,
2000,"Driftpile, Alberta, municipal",48055,4805,12,408.2,,,,,,408.2,2940,3,12,
2000,"Drumheller, Alberta, Royal Canadian Mounted Police, municipal",48715,4871,9,131.5,132.65,,,,,116.9,6843,0,8,43.3
2000,"Drummond-North Elmsley, Ontario, Ontario Provincial Police, municipal",35039,3503,5,73.9,60.42,,,,,73.9,6763,0,5,29.61
2000,"Drummondville, Quebec, municipal",24084,2408,64,111.9,109.26,,,,,111.9,57176,28,64,37.65
2000,"Dryden (Ignace), Ontario, Ontario Provincial Police, municipal",35028,3502,3,167.2,84.31,,,,,167.2,1794,0,3,77.81
2000,"Dryden (Machin), Ontario, Ontario Provincial Police, municipal",35184,3518,,,,,,,,,,,,
2000,"Dryden, Ontario, municipal",35084,3508,17,198.7,95.87,,,,,198.7,8555,8,17,36.19
2000,"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal",35160,3516,,,,,,,,,,,,
2000,"Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal",35129,3512,,,,,,,,,,,,
2000,"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal",35161,3516,,,,,,,,,,,,
2000,"Dufferin (Mono), Ontario, Ontario Provincial Police, municipal",35026,3502,7,98.4,51.1,,,,,98.4,7117,1,7,36.28
2000,"Dufferin (Mulmur), Ontario, Ontario Provincial Police, municipal",35163,3516,,,,,,,,,,,,
2000,"Dufferin (Town of Grand Valley), Ontario, Ontario Provincial Police, municipal",35119,3511,,,,,,,,,,,,
2000,"Duncan, British Columbia, Royal Canadian Mounted Police, municipal",59028,5902,,,,,,,,,,,,
2000,"Durham Region (Oshawa/Whitby/Ajax), Ontario, municipal",35206,3520,657,127.2,69.22,107,529,,,123.2,516371,181,636,42.26
2000,"Eagle Village (Kebaowek), Quebec, municipal",24063,2406,2,833.3,,,,,,1250,240,3,3,
2000,"East Algoma (Bruce Mines), Ontario, Ontario Provincial Police, municipal",35168,3516,,,,,,,,,,,,
2000,"East Algoma (Elliot Lake), Ontario, Ontario Provincial Police, municipal",35143,3514,,,,,,,,,,,,
2000,"East Algoma (Johnson), Ontario, Ontario Provincial Police, municipal",35167,3516,,,,,,,,,,,,
2000,"East Algoma (North Shore), Ontario, Ontario Provincial Police, municipal",35054,3505,1,169.5,,,,,,169.5,590,0,1,
2000,"East Algoma (Spanish), Ontario, Ontario Provincial Police, municipal",35053,3505,1,116,,,,,,116,862,0,1,
2000,"East Algoma (Thessalon), Ontario, Ontario Provincial Police, municipal",35057,3505,3,205.9,101.16,,,,,205.9,1457,0,3,52.77
2000,"East Angus, Quebec, municipal",24087,2408,8,114.5,51.61,,,,,143.2,6984,1,10,52.79
2000,"East Nipissing group of three, Ontario, Ontario Provincial Police, municipal",35061,3506,6,,,,,,,,,0,6,
2000,"East Perth, Ontario, Ontario Provincial Police, municipal",35488,3548,2,112.9,41.77,,,,,112.9,1771,0,2,56.71
2000,"East St. Paul, Manitoba, municipal",46065,4606,9,118.2,50.96,,,,,105.1,7615,1,8,26.08
2000,"Eastmain, Quebec, municipal",24199,2419,,,,,,,,,,,,
2000,"Edmonton, Alberta, municipal",48033,4803,1135,168.5,140.9,142,1034,,,174.6,673575,386,1176,38.4
2000,"Edmundston, New Brunswick, municipal",13006,1300,35,195.1,57.45,,,,,195.1,17936,16,35,40.07
2000,"Edson, Alberta, Royal Canadian Mounted Police, municipal",48747,4874,10,127.8,158.06,,,,,127.8,7827,0,10,30.34
2000,"Eeyou Eenou Cree Region, Quebec, municipal",24293,2429,,,,,,,,,,,,
2000,"Elgin County, Ontario, Ontario Provincial Police, municipal",35105,3510,0,0,26.87,0,0,,,0,42703,0,0,35.49
2000,"Elliot Lake, Ontario, municipal",35411,3541,20,157.3,93.94,,,,,157.3,12714,12,20,56.89
2000,"Eskasoni, Nova Scotia, municipal",12065,1206,14,314.3,154.37,,,,,314.3,4455,3,14,70.19
2000,"Espanola, Ontario, municipal",35098,3509,9,157.3,89.48,,,,,157.3,5720,6,9,45.03
2000,"Esquimalt, British Columbia, municipal",59005,5900,29,173.4,146.33,6,23,,,173.4,16729,10,29,46.65
2000,"Essex County (Kingsville), Ontario, Ontario Provincial Police, municipal",35508,3550,20,99.8,53.87,,,,,99.8,20042,1,20,51.41
2000,"Essex County (Lakeshore), Ontario, Ontario Provincial Police, municipal",35502,3550,25,85.7,37.54,5,20,,,85.7,29182,1,25,40.82
2000,"Essex County (Leamington), Ontario, Ontario Provincial Police, municipal",35156,3515,35,126.3,93.19,,,,,126.3,27712,10,35,49.76
2000,"Essex County (Tecumseh), Ontario, Ontario Provincial Police, municipal",35506,3550,18,70.4,40.78,,,,,70.4,25557,1,18,37.64
2000,"Essex, Ontario, Ontario Provincial Police, municipal",35101,3510,27,130.8,57.83,,,,,130.8,20646,4,27,37.92
2000,"Essipit, Quebec, municipal",24115,2411,3,1145,,,,,,1145,262,0,3,
2000,"Esterhazy, Saskatchewan, Royal Canadian Mounted Police, municipal",47915,4791,3,121.9,58.55,,,,,121.9,2462,0,3,84.14
2000,"Estevan, Saskatchewan, municipal",47017,4701,23,216.5,75.73,,,,,160,10626,6,17,43.03
2000,"Estérel, Quebec, municipal",24089,2408,4,,,0,4,,,,,0,4,
2000,"Exeter (South Huron), Ontario, Ontario Provincial Police, municipal",35481,3548,5,109.2,78.03,,,,,109.2,4579,0,5,46.71
2000,"Fairview, Alberta, Royal Canadian Mounted Police, municipal",48852,4885,4,122.5,79.76,,,,,122.5,3264,0,4,33.31
2000,"Farnham, Quebec, municipal",24088,2408,10,125.6,79.6,,,,,125.6,7960,6,10,54.97
2000,"Fergus, Ontario, municipal",35104,3510,0,,,0,0,,,,,0,0,
2000,"Fermont, Quebec, municipal",24364,2436,7,229.4,44.3,,,,,229.4,3052,2,7,39.38
2000,"Fernie, British Columbia, Royal Canadian Mounted Police, municipal",59043,5904,,,,,,,,,,,,
2000,"File Hills First Nations, Saskatchewan, municipal",47001,4700,,,,,,,,,,,,
2000,"Flin Flon, Manitoba, Royal Canadian Mounted Police, municipal",46756,4675,11,168.5,110.12,,,,,122.5,6530,0,8,49.84
2000,"Fort Frances (Rainy River District), Ontario, Ontario Provincial Police, municipal",35464,3546,21,241.3,128.39,5,16,,,241.3,8704,0,21,54.06
2000,"Fort Macleod, Alberta, Royal Canadian Mounted Police, municipal",48817,4881,5,162.3,149.81,,,,,162.3,3081,0,5,50.85
2000,"Fort Qu'appelle, Saskatchewan, Royal Canadian Mounted Police, municipal",47808,4780,4,200.1,522.06,,,,,150.1,1999,0,3,53.75
2000,"Fort Saskatchewan, Alberta, Royal Canadian Mounted Police, municipal",48800,4880,16,120.1,61.16,5,10,,,112.6,13321,0,15,31.52
2000,"Fort St John, British Columbia, Royal Canadian Mounted Police, municipal",59838,5983,25,151.6,191.16,6,20,,,157.6,16493,0,26,41.72
2000,"Fox Creek, Alberta, Royal Canadian Mounted Police, municipal",48863,4886,3,125.6,116.34,,,,,83.8,2388,0,2,28.99
2000,"Fredericton, New Brunswick, municipal",13007,1300,94,190.8,92.14,14,80,,,190.8,49269,25,94,29.82
2000,"Frontenac (South Frontenac), Ontario, Ontario Provincial Police, municipal",35047,3504,14,83.5,71.97,,,,,83.5,16776,2,14,35.15
2000,"Gananoque, Ontario, municipal",35114,3511,11,205.5,100.98,,,,,205.5,5353,5,11,37.39
2000,"Gatineau, Quebec, municipal",24205,2420,139,122.6,89.9,14,125,,,122.6,113420,48,139,37.05
2000,"Gatineau, Quebec, municipal",24216,2421,0,,,0,0,,,,,0,0,
2000,"Gesgapegiag Ameridian, Quebec, municipal",24122,2412,4,819.7,,0,4,,,819.7,488,2,4,
2000,"Gillam, Manitoba, Royal Canadian Mounted Police, municipal",46761,4676,4,306.5,109.14,,,,,306.5,1305,0,4,40.92
2000,"Gimli, Manitoba, Royal Canadian Mounted Police, municipal",46041,4604,,,,,,,,,,,,
2000,"Gimli, Manitoba, Royal Canadian Mounted Police, municipal",46791,4679,3,177.8,89.19,,,,,237.1,1687,0,4,35.05
2000,"Granby Canton, Quebec, municipal",24095,2409,15,129.9,64.09,0,15,,,129.9,11544,3,15,49.87
2000,"Granby, Quebec, municipal",24102,2410,55,122.7,86.49,,,,,122.7,44836,21,55,35.65
2000,"Grand Falls, New Brunswick, municipal",13012,1301,16,263.5,73.89,,,,,263.5,6073,2,16,38.16
2000,"Grand-mère, Quebec, municipal",24101,2410,20,146.7,82.44,0,20,,,146.7,13636,2,20,43.37
2000,"Grande Cache, Alberta, Royal Canadian Mounted Police, municipal",48794,4879,5,123.9,80.82,,,,,74.3,4036,0,3,43.22
2000,"Grande Prairie, Alberta, Royal Canadian Mounted Police, municipal",48846,4884,47,128,148.21,12,34,,,125.2,36732,0,46,31.37
2000,"Greater Sudbury, Ontario, municipal",35290,3529,238,147,98.88,44,190,,,144.5,161946,83,234,32.51
2000,"Greater Vancouver Transportation, British Columbia",59022,5902,,,,,,,,,,,,
2000,"Greenfield Park, Quebec, municipal",24103,2410,29,167.4,119.46,,,,,167.4,17324,16,29,39.05
2000,"Grenville County (Kemptville/Merrickville), Ontario, Ontario Provincial Police, municipal",35045,3504,3,104.6,66.11,,,,,104.6,2868,0,3,31.87
2000,"Grenville County (North Grenville), Ontario, Ontario Provincial Police, municipal",35494,3549,6,43.3,28,0,6,,,43.3,13846,0,6,51.75
2000,"Grenville County (Prescott), Ontario, Ontario Provincial Police, municipal",35164,3516,,,,,,,,,,,,
2000,"Grenville County (Prescott/Augusta), Ontario, Ontario Provincial Police, municipal",35044,3504,6,76,44.04,,,,,76,7892,0,6,39.54
2000,"Grey County (Chatsworth), Ontario, Ontario Provincial Police, municipal",35121,3512,,,,,,,,,,,,
2000,"Grey County (Georgian Bluffs), Ontario, Ontario Provincial Police, municipal",35138,3513,,,,,,,,,,,,
2000,"Grey County (Meaford), Ontario, Ontario Provincial Police, municipal",35137,3513,,,,,,,,,,,,
2000,"Grimshaw, Alberta, Royal Canadian Mounted Police, municipal",48841,4884,3,118,101.73,,,,,118,2542,0,3,54.84
2000,"Guelph, Ontario, municipal",35123,3512,140,129.2,69.16,15,119,,,123.7,108367,55,134,29.32
2000,"Haldimand County, Ontario, Ontario Provincial Police, municipal",35142,3514,,,,,,,,,,,,
2000,"Halifax, Nova Scotia, municipal",12020,1202,402,196,173.94,41,352,,,191.6,205088,180,393,25
2000,"Halton Region (Oakville/Burlington), Ontario, municipal",35048,3504,456,119.8,49.51,90,361,,,118.5,380686,149,451,47.34
2000,"Hamilton, Ontario, municipal",35125,3512,697,138.4,109.17,109,589,,,138.6,503789,340,698,35.37
2000,"Hampton, New Brunswick, Royal Canadian Mounted Police, municipal",13855,1385,4,96.8,51.62,,,,,96.8,4133,0,4,45.22
2000,"Hanna, Alberta, Royal Canadian Mounted Police, municipal",48714,4871,4,131.2,59.57,,,,,98.4,3048,1,3,41.24
2000,"Hanover, Ontario, municipal",35005,3500,20,123.1,59.97,,,,,123.1,16249,11,20,48.03
2000,"Hantsport, Nova Scotia, municipal",12021,1202,4,321.3,60.82,0,4,,,321.3,1245,1,4,27.01
2000,"Harriston, Ontario, municipal",35127,3512,0,,,0,0,,,,,0,0,
2000,"Hawkesbury, Ontario, Ontario Provincial Police, municipal",35049,3504,17,159.8,149.22,5,12,,,159.8,10640,4,17,42.96
2000,"High Level, Alberta, Royal Canadian Mounted Police, municipal",48859,4885,7,202.3,249.12,,,,,202.3,3460,0,7,55.06
2000,"High Prairie, Alberta, Royal Canadian Mounted Police, municipal",48850,4885,6,211.2,376.04,,,,,211.2,2841,0,6,54.84
